cd_adj,caserate,deathrate,pctsvc,pctsevere,pctpoc,pctrentburden,proratedami,evictionrate,litigations,rate,cd,change,newunits,foreclosures,scriedrie,rsunits,outagerate,units,PctNonBank
101,114.55296016742061,3.8218348635560293,39.61098074272731,4.217949698035318,82.13098675965782,64.23533896689752,20.103644081812668,0.6125144355615673,116,63.35434916029683,201,33.333333333333336,361,32,270,12421,NA,186,0.5405405405405406
102,114.55296016742061,3.8218348635560293,39.61098074272731,4.217949698035318,82.13098675965782,64.23533896689752,20.103644081812668,0.6125144355615673,86,100.66998797457481,202,19.788176850471928,268,31,307,8663,NA,138,0.5405405405405406
103,112.74892052001258,3.5788689610223345,38.08649633317106,3.8393495049841797,83.74197652229226,66.47054715597612,17.390035997026192,0.9427264580253955,121,77.71535580524345,203,28.672732361961298,602,55,350,14110,11.040413928121941,NA,0.68
104,120.78500707213578,4.038189533239038,42.26557119132943,8.088619290563612,82.73600840276497,62.02125030887077,23.120277773607647,0.7779349363507779,260,131.12256150129318,204,36.252019080154724,187,39,1960,33450,19.158496732026144,318,0.23863636363636365
105,112.39760554505357,3.2866471902388725,43.17175912192228,7.290544906310575,84.48870912892792,60.13608022569403,21.383924947525887,0.8807355215672796,246,122.73467620559553,205,25.365044204186695,282,35,1619,29142,NA,NA,0.6111111111111112
106,112.74892052001258,3.5788689610223345,38.08649633317106,3.8393495049841797,83.74197652229226,66.47054715597612,17.390035997026192,0.9427264580253955,133,143.75438479270372,206,14.781611934868263,417,39,411,14679,6.9105691056910565,43,0.68
107,136.4585856139501,3.307398885928796,40.534564898957576,7.482633145881574,77.18084966113763,63.204941044357106,24.39146984444456,0.7189997578106079,200,116.38473084256216,207,10.330188607283908,306,26,1720,36130,12.059601726779,33,0.31868131868131866
108,96.94555112881807,2.210336735250778,27.642549431127804,3.728663370954202,49.869897934689725,53.279675300106625,34.001422748162284,0.33655333005876037,36,40.124001310582955,208,10.671181761188276,135,26,962,16431,15.151515151515152,NA,0.2361111111111111
109,112.8170606925521,3.4627605148365554,32.2016485673165,4.55493208229847,82.30897335972502,57.736792747733666,28.247940951632337,0.4739081264473046,156,60.039717563989406,209,16.27740451571904,695,191,859,15899,26.41726618705036,NA,0.5930232558139535
110,125.41267917589536,3.6273977182498225,28.179413739975505,1.8826876412015732,57.83663861908498,53.2548125633232,37.67821349555646,0.3259643110869656,44,16.825164594001464,210,18.584606394523743,56,71,484,5639,22.847567317693287,NA,0.5110132158590308
111,111.80197738552705,3.0299921883013896,29.942417135170558,4.357941834451902,71.55607047261395,55.5202151031249,34.21508633223398,0.3235147909384296,63,38.99937849596022,211,15.782589739863399,57,83,753,13320,16.756225425950195,NA,0.64375
112,109.57337827566835,2.8155051055814413,31.30515240009979,4.402105096549541,85.98720562201599,60.88490012571588,32.02369494958835,0.6476983576220218,207,117.22230037042247,212,22.501061682942197,169,218,513,11902,22.550750220653132,NA,0.7098765432098766
201,100.58189906785546,2.2919572577622387,13.105175634425258,3.5633467097124583,31.012239934438366,36.53793641505754,59.051924424877726,0.1474717806603049,64,33.313674546121106,301,1.8181818181818084,814,134,815,21927,41.12158430924498,118,0.0992063492063492
202,52.22343305093683,1.2936337750905191,9.939376918555286,3.172785340989741,42.0170083842035,39.22218221101909,75.3449652051719,0.2109185502864977,41,12.64803323998316,302,2.611879333250308,1286,90,395,16696,0.7763975155279503,25,0.09781021897810219
203,83.81721618345355,2.933435132908722,25.607912020772872,3.1049289830073037,66.00349257827118,47.95758051846033,34.95166563265881,0.40184042916557833,154,96.5277211300541,303,12.04285544908759,736,295,386,12330,28.21633433488118,NA,0.20489296636085627
204,87.03257916450582,2.608500460551268,26.438614957691414,3.6442746471399765,65.07252058016464,55.14552632224211,34.09789703875434,0.23995108094091785,128,171.8632134774956,304,5.8861525271854855,991,124,592,9956,34.401805869074494,113,0.1357142857142857
205,128.18636721583897,4.6504994636423955,32.52805437458044,4.672782445492975,75.35216330864826,58.63823035280941,29.977905660137314,0.5952639313462266,156,84.78878960194963,305,19.533015978560112,242,297,189,7254,0.14869888475836432,205,0.593939393939394
206,55.48291788358351,1.2735176254839367,7.388131079032946,2.033600392413342,24.92656278772042,33.01839703365659,89.32887723478208,0.10188141003871494,46,32.4554012967508,306,-2.3509257970235087,528,66,377,6391,31.36094674556213,76,0.06746626686656672
207,87.44249081636292,2.382395948500303,28.637160699546822,7.392058379693236,57.40195591170106,48.57102829924349,29.409955662492845,0.12125967402546453,69,131.6576086956522,307,6.446176737892017,131,60,611,8027,14.655172413793103,NA,0.1814814814814815
208,54.90628938791644,1.8421425534929856,16.2171162076467,2.1504990949982976,64.54214623578827,44.89870281300102,47.60784981965863,0.29832268072760904,125,101.51988097669127,308,16.542417285859486,317,104,852,15213,13.897131552917903,81,0.14327485380116958
209,79.66930774095152,3.4966335602425325,24.308504356850186,3.6278265744720612,71.66613337348717,49.62991928050722,41.29921748851074,0.49287653907673995,109,149.92313348038232,309,3.14760914760915,93,106,1971,20076,11.828214971209214,39,0.24324324324324326
210,105.36649747847127,2.566337795230685,17.94979788983283,3.8622741942244017,37.66085708427312,45.58976132826012,41.81028139450224,0.20367760279608613,35,48.55516637478109,310,1.1178697501047676,24,40,842,11780,1.5779092702169626,NA,0.14622641509433962
211,105.14233727215986,2.845687566778449,25.14108440223783,4.49448789220767,57.156381880519255,56.490462942075844,27.34352196705234,0.1375239344539771,55,100.81979001869696,311,-0.0754752971167669,46,61,1528,14599,17.061174300645558,NA,0.10443864229765012
212,139.10566164500375,3.410940851184785,15.931479961457478,7.780849231884715,23.79162051215221,64.28989751098096,25.734104343712545,0.12274218972066461,53,69.04391528060309,312,1.1073663938372698,290,172,1306,12883,13.978819969742814,NA,0.4
213,124.08353894959464,4.758547761720127,27.593910411091123,4.55593751359819,42.65985409058182,59.39276227471366,24.92144327662802,0.31723651744800846,35,24.53312797381666,313,7.806856929190164,238,44,1187,9535,NA,1050,0.1918238993710692
214,114.32852308727644,4.399692719873532,22.13325812398536,6.069444929611905,56.77010952022746,52.94426793435417,39.214775912481265,0.3110893842334821,138,138.6061900573774,314,-0.8663047277725414,481,82,3182,30200,NA,NA,0.2936893203883495
215,148.590337524818,3.7657180675049635,20.856428079216226,2.624573439817048,29.573069382161588,49.32973048848961,42.641295105129004,0.13898080741230973,47,47.12350284704496,315,7.573474042553196,126,255,1565,12518,NA,NA,0.2756756756756757
216,74.9909742637578,3.1804975329654273,35.62759246195707,1.6158569427986642,86.6813638806877,64.04345654345654,26.469647396865128,0.5415441745319511,107,84.78418958805663,316,7.608695652173909,278,131,181,7060,NA,28,0.4647887323943662
217,95.198933096243607,4.526931910794992,32.46506110042802,2.7023228733762976,96.54728731186907,55.521895620875824,35.75805637661308,0.6594057938801215,207,212.75463666768016,317,14.042420272078507,270,256,1629,18385,NA,16,0.5659163987138264
218,92.56872747786083,3.4236083080858433,21.783500277669223,2.4219340582659767,76.3721780644506,48.052648613658434,43.40890035437808,0.2771955590353595,100,56.598963202175575,318,13.350392536610855,5,282,212,2804,NA,NA,0.5643802647412756
301,67.71616118797128,0.7707426105052217,8.300241214586388,3.4889851978549107,23.995526216613783,33.85911320929372,107.49600030293564,0.15414852210104435,10,1.093045498018855,101,NA,449,58,105,8997,11.433702484286142,440,0.03192702394526796
302,67.71616118797128,0.7707426105052217,8.300241214586388,3.4889851978549107,23.995526216613783,33.85911320929372,107.49600030293564,0.15414852210104435,34,13.438504236050248,102,-1.8259946837641434,95,39,1098,10369,12.768427161926871,NA,0.03192702394526796
303,87.21870673033374,2.6592647230094335,25.778609480589946,3.5793624347439743,57.960964051505435,51.9406137962839,30.221704027879273,0.1423450703314052,89,21.463134789983037,103,-48.44953918778663,154,49,1955,17976,13.341433778857837,320,0.07210031347962383
304,79.35644972658596,1.5045674368619022,6.759693318729464,3.457793283137186,30.870942674397753,36.02646603107246,94.00917732689054,0.31608559597939123,77,10.036389247564268,104,-32.791007899756956,213,187,1075,31321,NA,745,0.05325443786982249
305,79.35644972658596,1.5045674368619022,6.759693318729464,3.457793283137186,30.870942674397753,36.02646603107246,94.00917732689054,0.31608559597939123,32,3.991473710607707,105,NA,972,231,403,10496,14.420711974110032,NA,0.05325443786982249
306,60.25966694891335,1.283550394473341,5.995938632639889,2.123849477177384,26.054336552578764,33.55672086007572,110.84484242080241,0.14112334180073385,35,3.8256870465899495,106,-25.070967741935483,96,39,1445,23297,5.423506237688772,NA,0.07517084282460136
307,62.29364650132633,1.8439825903319684,5.057054675406578,2.42512589451365,23.761979497111565,36.96709975926653,102.09246078199038,0.10301578716938371,89,11.363273389337849,107,0.33147875639771324,754,50,2053,27438,NA,973,0.05037513397642015
308,59.27231958019511,1.097893997404132,6.70662063097264,2.2782772280809653,20.100150317695988,36.58258578322527,100.42209553875315,0.1302586098615072,68,5.878958623264655,108,3.154989186418483,134,86,1471,19356,9.884075655887736,272,0.060657118786857624
309,70.95666768385719,2.5328043942630454,22.22932503577665,3.6987916298261125,54.00076785835272,47.12673838887431,38.66838950106198,0.183094293561184,107,83.36026594025579,109,17.07612421142432,280,45,1466,16932,0.38022813688212925,NA,0.11274509803921569
310,77.06721336772259,2.792290339410239,23.535857537052316,2.221711619357347,78.35072716738418,46.63750214445016,37.613021110759,0.4041472859672714,177,72.44916321756344,110,-4.745212051714564,143,50,1025,23308,NA,743,0.07112970711297072
311,96.07685492074951,3.7574246053883766,26.835369993211135,3.601524879614767,72.55320676165525,53.05601167670133,26.29638275213717,0.31175138647327144,84,42.952007799422404,111,-27.447319285142708,427,17,503,16213,NA,839,0.07272727272727272
312,94.96701155634352,3.0010480583219064,31.84110373695371,4.654317766762327,65.44469269363437,50.14620333035797,30.171987823909316,0.3555087699858258,190,106.28178694158076,112,-18.091889024895817,97,16,6565,46658,NA,92,0.08394160583941605
401,109.30104903635034,3.0068309343742374,19.509362014669335,2.513801261829653,37.452504681788895,43.153728648798776,51.41931282067574,0.2012686020980727,77,20.37788881948782,401,-0.8696914700544571,470,94,1482,26994,11.688980432543769,1104,0.18050541516245489
402,96.15157334909145,2.4966760230462404,21.11005203838812,4.770232558139535,52.662834967440354,45.1954780970325,46.17048296667647,0.17727877086718866,48,11.912996695104143,402,1.418002466091232,1488,43,1201,22631,NA,NA,0.15841584158415842
403,123.07100788199723,4.409957065543496,34.99844834083302,7.557064129211876,61.73727000427899,56.287114442202366,30.41819701613516,0.10486027368531432,51,29.772855265627932,403,6.070025078376203,68,108,1290,12320,NA,NA,0.24436090225563908
404,147.54943371372116,4.832405034292178,35.225363431367846,9.746515760920401,78.07386239860578,52.40523294775793,28.954978900283372,0.18613708280236538,64,30.82838168472562,404,5.687055702055868,207,56,1687,16726,NA,NA,0.17616580310880828
405,106.40088332404271,2.229750010719952,22.83948616647544,1.8324943085259884,23.188763977214503,48.48277909738717,42.88017137501674,0.12863942369538184,81,116.03252977054893,405,3.481242413515632,12,80,537,8722,NA,NA,0.41304347826086957
406,95.88284533271201,2.5370854583581433,11.026121429347235,4.0053249985529895,40.953346087549484,43.705027932960895,64.1086380212426,0.12081359325514968,24,7.397550689009676,406,2.764477994504129,NA,37,1688,13089,NA,NA,0.23337363966142685
407,104.81760368625608,3.04577733265741,25.93109394712241,3.5710170311815816,72.01514159812231,61.223036456777926,33.20515062102189,0.1401304862115723,51,16.162310866574966,407,-1.8945336461815705,275,141,1443,15520,20.26143790849673,NA,0.20770877944325483
408,97.50611127705878,2.5359513780091563,20.463554753096552,2.701338955866717,66.19833680574105,49.31897265948633,37.080757768815225,0.17678507202467675,44,15.093709097997717,408,-0.09235708199393633,215,83,1058,13372,12.08313194780087,NA,0.36724137931034484
409,127.4091888641937,3.4993616029508132,24.082571208197894,3.124714898275705,70.604357383344,50.276006471875895,32.280795709987245,0.270220973200835,75,30.246336139694417,409,6.818101912207494,17,133,456,5968,NA,NA,0.4691588785046729
410,125.8434065727417,3.407475384187208,25.331362879257977,1.4755146400716022,62.631570069495986,55.16559565002471,36.80686575838064,0.18052849717548122,52,18.75404181935762,410,11.478941073257538,30,145,68,820,NA,NA,0.5442857142857143
411,78.10583827397515,1.750721009497873,15.468736915561758,1.2561076795427306,53.612890836403,45.764959390021545,50.06157862042246,0.10149107301436945,12,3.0099398012039758,411,-2.285505263127123,62,68,242,3014,NA,NA,0.22965440356744704
412,108.95353198231797,4.049674888223073,31.076512701679146,3.691562932226833,93.53103305356957,50.384789497510184,31.909133975501362,0.40454608664871494,158,31.61325793276783,412,13.993671142388214,630,518,898,10112,2.11340206185567,54,0.7378277153558053
413,96.58931169695923,3.2503884189499126,24.00301434870719,1.0050415766385123,87.30090700687731,51.98690376837645,39.10366693759669,0.22195368566425805,81,7.6378748736381,413,11.357429811135455,15,336,143,2189,NA,NA,0.5787610619469027
414,101.03786292112086,2.8185024564572516,35.125114866754565,2.54744320837618,53.00558567438804,56.679606320825,27.980355799061943,0.43601142972819357,80,36.49020807833537,414,18.30106220981901,428,133,321,7677,15.688530878404297,NA,0.5773809523809523
501,138.81023124378572,2.6339812655902035,26.79010395794536,1.652524919680369,42.56477198558415,53.57680453014121,38.69112330968001,0.3430571626265387,86,34.196438326231835,501,12.206398757325239,68,225,245,5999,5.971128608923885,141,0.5495951417004049
502,141.32305511765472,2.4875981661194917,21.436575449569975,1.5395026222297412,26.95360415614402,50.88579563429295,39.32254823129892,0.0723139001778922,11,6.931030564708556,502,2.5280227964532487,88,120,68,942,5.038488453463961,NA,0.39481865284974094
503,150.69491690154533,2.0227913305471863,14.296212130883836,0.6213205636510307,8.569144387015209,35.011355034065105,50.058694313044086,0.09719117504130625,10,7.766470273165506,503,3.4558823529411797,136,160,153,1318,NA,NA,0.520516717325228
